Buy Time,Buy Price,Take Profit,Stop Loss,Close,Close Time,%
2024-08-09 03:37:00,1.09254,1.1143908,1.0816146,1.09242,2024-08-09 03:39:00,-0.01%
2024-08-09 03:53:00,1.09229,1.1141358,1.0813671,1.09203,2024-08-09 03:58:00,-0.02%
2024-08-09 04:04:00,1.09195,1.113789,1.0810305,1.09173,2024-08-09 04:12:00,-0.02%
2024-08-09 04:16:00,1.09167,1.1135034,1.0807533,1.0917,2024-08-09 04:20:00,0.00%
2024-08-09 04:23:00,1.09194,1.1137788,1.0810206,1.09171,2024-08-09 04:24:00,-0.02%
2024-08-09 04:28:00,1.09184,1.1136768,1.0809216,1.0921,2024-08-09 04:33:00,0.02%
2024-08-09 04:43:00,1.09166,1.1134932000000002,1.0807434,1.09145,2024-08-09 04:51:00,-0.02%
2024-08-09 04:54:00,1.0914,1.1132279999999999,1.0804859999999998,1.0919,2024-08-09 05:04:00,0.05%
2024-08-09 05:09:00,1.09209,1.1139318,1.0811691,1.09218,2024-08-09 05:12:00,0.01%
2024-08-09 05:17:00,1.09224,1.1140848,1.0813176,1.09212,2024-08-09 05:18:00,-0.01%
2024-08-09 05:19:00,1.09221,1.1140542,1.0812879,1.09206,2024-08-09 05:20:00,-0.01%
2024-08-09 05:21:00,1.0922,1.114044,1.081278,1.09223,2024-08-09 05:24:00,0.00%
2024-08-09 05:25:00,1.09225,1.1140949999999998,1.0813275,1.09232,2024-08-09 05:29:00,0.01%
2024-08-09 05:30:00,1.09237,1.1142174,1.0814463,1.09237,2024-08-09 05:34:00,0.00%
2024-08-09 05:35:00,1.09255,1.114401,1.0816245,1.09243,2024-08-09 05:36:00,-0.01%
2024-08-09 05:37:00,1.09245,1.114299,1.0815255,1.09217,2024-08-09 05:46:00,-0.03%
2024-08-09 05:53:00,1.09185,1.113687,1.0809315,1.09188,2024-08-09 05:58:00,0.00%
2024-08-09 05:59:00,1.09195,1.113789,1.0810305,1.09177,2024-08-09 06:00:00,-0.02%
2024-08-09 06:01:00,1.09186,1.1136972,1.0809414,1.09175,2024-08-09 06:02:00,-0.01%
2024-08-09 06:03:00,1.09182,1.1136564,1.0809018,1.09181,2024-08-09 06:04:00,-0.00%
2024-08-09 06:06:00,1.09187,1.1137073999999998,1.0809513,1.0918,2024-08-09 06:07:00,-0.01%
2024-08-09 06:10:00,1.09185,1.113687,1.0809315,1.09196,2024-08-09 06:13:00,0.01%
2024-08-09 06:17:00,1.09207,1.1139114,1.0811493,1.09201,2024-08-09 06:41:00,-0.01%
2024-08-09 06:42:00,1.0921,1.113942,1.0811790000000001,1.09202,2024-08-09 06:43:00,-0.01%
2024-08-09 07:08:00,1.09185,1.113687,1.0809315,1.09174,2024-08-09 07:10:00,-0.01%
2024-08-09 07:20:00,1.09167,1.1135034,1.0807533,1.09159,2024-08-09 07:23:00,-0.01%
2024-08-09 07:29:00,1.09151,1.1133402,1.0805949,1.09147,2024-08-09 07:33:00,-0.00%
2024-08-09 07:34:00,1.09162,1.1134524000000001,1.0807038,1.09158,2024-08-09 07:38:00,-0.00%
2024-08-09 07:50:00,1.09128,1.1131056,1.0803672,1.09161,2024-08-09 07:58:00,0.03%
2024-08-09 08:20:00,1.09143,1.1132586,1.0805156999999999,1.09145,2024-08-09 08:29:00,0.00%
2024-08-09 08:37:00,1.09121,1.1130342,1.0802979,1.09097,2024-08-09 08:42:00,-0.02%
