date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 03:34:00,61079.33,61088.31,61059.49,61063.4,0.09194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 03:35:00,61055.71,61056.83,61014.44,61054.59,0.17598,0.0,-0.7027920227992581,-0.1405584045598516,-0.5622336182394065,0.0,0.0,0.0
2024-08-09 03:36:00,61052.53,61052.53,60986.48,61009.45,0.0161,0.0,-4.846315208487795,-1.0817097653454402,-3.7646054431423535,0.0,0.0,0.0
2024-08-09 03:37:00,61006.89,61006.89,60965.24,60969.26,0.0308,0.0,-11.243476505442231,-3.1140631133647982,-8.129413392077433,0.0,0.0,0.0
2024-08-09 03:38:00,60967.29,60967.29,60959.85,60964.76,0.02351,0.0,-16.486341037183593,-5.7885186981285575,-10.697822339055037,0.0,0.0,0.0
2024-08-09 03:39:00,60970.09,60970.09,60942.85,60949.75,0.16014,0.0,-21.603498820892128,-8.95151472268127,-12.651984098210855,0.0,0.0,0.0
2024-08-09 03:40:00,60938.82,60969.81,60938.82,60957.63,0.14758,0.0,-24.73787031728716,-12.10878584160245,-12.629084475684712,0.0,0.0,0.0
2024-08-09 03:41:00,60928.26,60954.12,60928.26,60954.05,0.05362,0.0,-27.19724547466467,-15.126477768214894,-12.070767706449775,0.0,0.0,0.0
2024-08-09 03:42:00,60951.76,60961.98,60916.51,60916.51,0.07473,0.0,-31.808810108232137,-18.46294423621834,-13.345865872013796,0.0,0.0,0.0
2024-08-09 03:43:00,60917.88,60936.62,60914.59,60920.17,0.17848,0.0,-34.76739994810487,-21.723835378595645,-13.043564569509222,0.0,0.0,0.0
2024-08-09 03:44:00,60918.48,60953.05,60918.48,60948.66,0.06399,0.0,-34.41646720216522,-24.26236174330956,-10.15410545885566,0.0,0.0,0.0
2024-08-09 03:45:00,60953.64,60984.08,60953.08,60980.04,0.09576,0.0,-31.24606157840026,-25.6591017103277,-5.586959868072558,0.0,0.0,0.0
2024-08-09 03:46:00,60971.22,60992.53,60915.64,60927.74,0.5127,0.0,-32.57812484663009,-27.04290633758818,-5.535218509041908,0.0,0.0,0.0
2024-08-09 03:47:00,60930.2,60954.21,60916.52,60944.01,0.0881,0.0,-31.95261173944164,-28.02484741795888,-3.927764321482762,0.0,0.0,0.0
2024-08-09 03:48:00,60950.62,60966.27,60943.96,60953.67,0.1175,31.976610492427227,-30.327806749599404,-28.485439284286983,-1.842367465312421,0.0,0.0,0.0
2024-08-09 03:49:00,60923.63,60951.2,60923.63,60948.77,0.00879,31.43174372132559,-29.10007854674041,-28.60836713677767,-0.4917114099627362,0.0,0.0,0.0
2024-08-09 03:50:00,60942.33,60942.33,60908.15,60937.94,0.11667,30.20662775476255,-28.670490028300264,-28.62079171508219,-0.049698313218073,0.0,0.0,0.0
2024-08-09 03:51:00,60945.26,60952.8,60915.35,60944.0,0.04103,31.80828358155832,-27.52376979272958,-28.40138733061167,0.8776175378820881,0.0,0.0,Open Trade
2024-08-09 03:52:00,60949.33,60949.33,60941.06,60941.91,0.01234,31.5394598460402,-26.47840471024392,-28.01679080653812,1.5383860962941966,0.0,0.0,0.0
2024-08-09 03:53:00,60944.25,60949.55,60925.98,60945.46,0.04479,32.58170974541039,-25.07444739821221,-27.428322124872945,2.3538747266607274,0.0,0.0,0.0
2024-08-09 03:54:00,60934.67,60934.67,60918.56,60918.56,0.01669,28.981255130041035,-25.83460110076703,-27.109577920051763,1.2749768192847313,0.0,0.0,0.0
2024-08-09 03:55:00,60901.3,60901.3,60830.91,60837.48,0.01739,21.33015837666225,-32.603671937802574,-28.20839672360193,-4.395275214200645,0.0,0.0,Close Trade
2024-08-09 03:56:00,60836.47,60856.15,60832.25,60856.15,0.03686,26.16397398062594,-36.04617846895417,-29.77595307267238,-6.270225396281788,0.0,0.0,0.0
2024-08-09 03:57:00,60882.29,60903.02,60882.29,60897.58,0.00704,35.617710967658994,-35.027559044989175,-30.82627426713574,-4.201284777853434,0.0,0.0,0.0
2024-08-09 03:58:00,60894.14,60928.08,60894.14,60909.02,0.02546,37.97910784769895,-32.91772833909636,-31.244565081527867,-1.6731632575684898,0.0,0.0,0.0
2024-08-09 03:59:00,60921.75,60934.79,60912.23,60933.68,0.0339,42.84547552262503,-28.922416779336345,-30.780135421089565,1.85771864175322,0.0,0.0,Open Trade
2024-08-09 04:00:00,60938.23,60964.07,60938.23,60961.88,0.11509,47.8816237673632,-23.21301408403088,-29.26671115367783,6.0536970696469545,0.0,0.0,0.0
2024-08-09 04:01:00,60972.66,60972.66,60941.74,60941.74,0.23729,44.84260249189956,-20.081909247717704,-27.429750772485807,7.347841524768103,0.0,0.0,0.0
2024-08-09 04:02:00,60881.05,60881.07,60874.38,60874.38,0.01031,36.49869464819337,-22.77335805974872,-26.49847222993839,3.7251141701896735,0.0,0.0,0.0
2024-08-09 04:03:00,60879.09,60879.09,60837.14,60860.45,0.23526,35.04639650924028,-25.7337426496888,-26.34552631388848,0.611783664199681,65.78069891602217,0.0,0.0
2024-08-09 04:04:00,60865.86,60890.77,60865.86,60880.42,0.04972,38.80564832507924,-26.16682182814111,-26.309785416739004,0.1429635885978939,58.20176484968796,0.0,0.0
2024-08-09 04:05:00,60891.65,60894.19,60810.25,60835.73,0.02169,34.055545770452184,-29.772945722041182,-27.002417477799444,-2.770528244241742,55.13457836011558,59.705680708608575,Close Trade
2024-08-09 04:06:00,60830.6,60830.6,60724.74,60778.21,0.08987,29.115553209114395,-36.84745366487186,-28.97142471521393,-7.8760289496579325,47.68885836832557,53.6750671927097,0.0
2024-08-09 04:07:00,60748.63,60754.2,60722.06,60747.21,0.14879,26.85463330737308,-44.44317978915933,-32.06577573000301,-12.37740405915632,32.68527339118938,45.169570039876845,0.0
2024-08-09 04:08:00,60738.18,60794.86,60738.18,60794.86,0.01641,35.18597620216251,-46.08663268095552,-34.869947120193515,-11.216685560762002,34.10444230845528,38.15952468932341,Open Trade
